candidate_id,hash_relation,air_r1cs,backend,required_status,evaluation_status,justified_gate_failure,security_qualified,integration_eligible,scorecard_id,artifact_path,artifact_sha256
C00,v0.3 P2BB512,256x190 horizontal,hiding FRI q32,reproduced,EVIDENCE_RECORDED_GATE_FAIL,NO_SECURITY_QUALIFIED_OR_INTEGRATION_AUTHORIZED_COMPONENT; CHECKPOINTS_2_4_AND_SP80_FAIL_CLOSED,false,false,minimum:C00,research/reviews/checkpoint-3-backends.json,c84297a081923a9c2fcdfd1963f5178b337c186fb9201028cb816435564d2416
C01,v0.3 P2BB512,256x190 horizontal,hiding FRI q48,security/gas comparator,NOT_RUN,NO_SECURITY_QUALIFIED_OR_INTEGRATION_AUTHORIZED_COMPONENT; CHECKPOINTS_2_4_AND_SP80_FAIL_CLOSED,false,false,minimum:C01,research/reviews/checkpoint-3-backends.json,c84297a081923a9c2fcdfd1963f5178b337c186fb9201028cb816435564d2416
C10,width-24 compression,best vertical,hiding FRI,measured if hash passes,EVIDENCE_RECORDED_GATE_FAIL,NO_SECURITY_QUALIFIED_OR_INTEGRATION_AUTHORIZED_COMPONENT; CHECKPOINTS_2_4_AND_SP80_FAIL_CLOSED,false,false,minimum:C10,research/reviews/checkpoint-3-backends.json,c84297a081923a9c2fcdfd1963f5178b337c186fb9201028cb816435564d2416
C11,width-32/12-field compression,best vertical,hiding FRI,required,NOT_RUN,NO_SECURITY_QUALIFIED_OR_INTEGRATION_AUTHORIZED_COMPONENT; CHECKPOINTS_2_4_AND_SP80_FAIL_CLOSED,false,false,minimum:C11,research/reviews/checkpoint-3-backends.json,c84297a081923a9c2fcdfd1963f5178b337c186fb9201028cb816435564d2416
C12,width-32/12-field compression,second AIR geometry,hiding FRI,required,NOT_RUN,NO_SECURITY_QUALIFIED_OR_INTEGRATION_AUTHORIZED_COMPONENT; CHECKPOINTS_2_4_AND_SP80_FAIL_CLOSED,false,false,minimum:C12,research/reviews/checkpoint-3-backends.json,c84297a081923a9c2fcdfd1963f5178b337c186fb9201028cb816435564d2416
C20,top relation,best AIR,HVZK-WHIR,required investigation,EVIDENCE_RECORDED_GATE_FAIL,NO_SECURITY_QUALIFIED_OR_INTEGRATION_AUTHORIZED_COMPONENT; CHECKPOINTS_2_4_AND_SP80_FAIL_CLOSED,false,false,minimum:C20,research/reviews/checkpoint-3-backends.json,c84297a081923a9c2fcdfd1963f5178b337c186fb9201028cb816435564d2416
C21,top relation,structured R1CS/CCS,Spartan-WHIR + ZK,required investigation,NOT_RUN,NO_SECURITY_QUALIFIED_OR_INTEGRATION_AUTHORIZED_COMPONENT; CHECKPOINTS_2_4_AND_SP80_FAIL_CLOSED,false,false,minimum:C21,research/reviews/checkpoint-3-backends.json,c84297a081923a9c2fcdfd1963f5178b337c186fb9201028cb816435564d2416
C22,top inner proof,recursive verifier,transparent outer,required investigation,NOT_RUN,NO_SECURITY_QUALIFIED_OR_INTEGRATION_AUTHORIZED_COMPONENT; CHECKPOINTS_2_4_AND_SP80_FAIL_CLOSED,false,false,minimum:C22,research/reviews/checkpoint-3-backends.json,c84297a081923a9c2fcdfd1963f5178b337c186fb9201028cb816435564d2416
C23,original Keccak relation,Flock repeated R1CS,Flock + ZK/outer,required investigation,NOT_RUN,NO_SECURITY_QUALIFIED_OR_INTEGRATION_AUTHORIZED_COMPONENT; CHECKPOINTS_2_4_AND_SP80_FAIL_CLOSED,false,false,minimum:C23,research/reviews/checkpoint-3-backends.json,c84297a081923a9c2fcdfd1963f5178b337c186fb9201028cb816435564d2416
C30,best individual proof,aggregate proof,batch N=16,required if recursion exists,NOT_RUN,NO_SECURITY_QUALIFIED_OR_INTEGRATION_AUTHORIZED_COMPONENT; CHECKPOINTS_2_4_AND_SP80_FAIL_CLOSED,false,false,minimum:C30,research/reviews/checkpoint-3-backends.json,c84297a081923a9c2fcdfd1963f5178b337c186fb9201028cb816435564d2416
C40,best non-one-tx proof,two-call verifier,bounded checkpoint,required fallback,NOT_RUN,NO_SECURITY_QUALIFIED_OR_INTEGRATION_AUTHORIZED_COMPONENT; CHECKPOINTS_2_4_AND_SP80_FAIL_CLOSED,false,false,minimum:C40,research/reviews/checkpoint-3-backends.json,c84297a081923a9c2fcdfd1963f5178b337c186fb9201028cb816435564d2416
