priority,owner,experiment,information_value,promotion,prerequisite,evidence
1,R2-00,Instrument canonical sub-sections of one new fixed and one varied C0 distribution proof; extend only if required for a new codec comparison.,Resolve exact missing evidence without treating promotion as permission,NOT_AUTHORIZED,New C0 distribution canonical sub-section instrumentation and fresh full operational distribution are not claimed; retained detailed canonical ledgers remain authoritative.,research/r2/air/outputs/resume-causal-distributions-01/summary.json
2,R2-01,Resolve exact batching-object theorem interpretation and losses for the measured C2 q101/b4 configuration.,Resolve exact missing evidence without treating promotion as permission,NOT_AUTHORIZED,"Theorem batching-object interpretation, QROM/lifetime/MMCS and hiding composition are unresolved; reviews deferred independently.",research/r2/security/outputs/resume-shapes-02/results.json
3,R2-02,Retain full per-op trace of a bounded isolated H0Optimized/H5Straight compression pair on a fresh node; do not trace a billion-gas constructor.,Resolve exact missing evidence without treating promotion as permission,NOT_AUTHORIZED,Complete diagnostic opcode attribution was interrupted; traces remain partial. No H6 comparator entered: optional branch not required for completed H5 comparison.,research/r2/hash/outputs/resume-costs-06/results.json
4,R2-03,No further geometry sweep; compare a generated non-interpreted evaluator only if full-verifier work needs it.,Resolve exact missing evidence without treating promotion as permission,NOT_AUTHORIZED,"Unreachable normalized H0 vertical settings remain unavailable in declared sweep, not fixed controls relabeled secure. Arithmetic tape is not a complete verifier.",research/r2/air/outputs/resume-C1-mutations/results.json
5,R2-04,"Measure an exact C2 proof through a real local codec/verifier, not the interpreter tape.",Resolve exact missing evidence without treating promotion as permission,NOT_AUTHORIZED,Complete new-candidate EVM codec/verifier gas remains unknown; taped evaluator cap failures do not prove an optimized verifier impossible.,research/r2/air/outputs/resume-causal-distributions-01/summary.json
6,R2-05,Wait for explicit user resumption; then run the retained changed-transcript integrated proof.,Resolve exact missing evidence without treating promotion as permission,NOT_AUTHORIZED,"All changed-transcript state machine, full codec/verifier integration and dependent lifecycle experiments explicitly deferred by user.",research/r2/transcript/INCOMPLETE.json
7,R2-06,Obtain nonoverlapping complete narrow-verifier arithmetic attribution before entering one alternate extension.,Resolve exact missing evidence without treating promotion as permission,NOT_AUTHORIZED,Complete EVM gas stays unknown; component models prioritize only within domain. Field continuation not entered: no nonoverlapping complete narrow-verifier arithmetic inventory.,research/r2/models/outputs/resume-component-gas-02/fits.json
8,R2-07,Implement the actual outer hiding zerocheck and prescribed-point adapter; an opening-only wrapper is not a repair.,Resolve exact missing evidence without treating promotion as permission,NOT_AUTHORIZED,Complete hiding outer zerocheck/prescribed-point adapter is absent; opening-only proof reveals requested synthetic limbs and is not a private withdrawal. No full hiding EVM claim; licenses unresolved.,research/r2/backend/outputs/resume-h0-degree-32/results.json
9,R2-08,Resume incomplete source preparation and execute the first deposit-backed retained-proof operational control.,Resolve exact missing evidence without treating promotion as permission,NOT_AUTHORIZED,No new constructor/payout/checkpoint/100-proof operational campaign; source preparation incomplete. Dependent new full local pipeline remains unknown.,research/r2/operations/RESUME_INCOMPLETE.json
10,R2-09,Provide an explicit public/local commodity-x86 host or compatible executable; retain the same corpus and build pin.,Resolve exact missing evidence without treating promotion as permission,NOT_AUTHORIZED,Commodity x86 host/executable unavailable. Flock supported M21 preset absent in bounded search; STIR/Circle hiding and recursion/aggregation exact outer paths absent. Transport is not L2 execution or actual fees.,research/r2/conditional/outputs/resume-portable-summary.json
11,R2-10,Revisit allowed final decisions after the interrupted operational path and deferred integration/review checkpoints are explicitly reopened or further dispositioned.,Resolve exact missing evidence without treating promotion as permission,NOT_AUTHORIZED,Review checkpoints remain deferred; no final decision category is asserted without its required evidence. Full engineering specification not warranted by this return.,research/r2/final/TARGETED_RESEARCH_REPORT.md
