candidate_id,profile,term,model,formula_source,input_summary,classical_bits,quantum_bits,proven_or_conjectural,multi_target_count,binding,notes
H1,run:research-sp10-h1-native;artifact:research/runs/research-sp10-h1-native.json;sha256:b286bdc6b4f13612d4fe3365f3e39653f855f4f3a5a2ab106ddbda0dc7011784,ideal-collision-ceiling,generic black-box ceiling,,fieldModulus=2013265921;width=16;outputFields=7,108.17411708713789,72.11607805809193,HEURISTIC,,true,Necessary ceiling only; not a qualification result.
H1,run:research-sp10-h1-native;artifact:research/runs/research-sp10-h1-native.json;sha256:b286bdc6b4f13612d4fe3365f3e39653f855f4f3a5a2ab106ddbda0dc7011784,ideal-hidden-part-ceiling,generic black-box ceiling,,fieldModulus=2013265921;width=16;outputFields=7,278.162015366926,139.081007683463,HEURISTIC,,false,Necessary ceiling only; structural attacks are outside this model.
H3,run:research-sp10-h3-native;artifact:research/runs/research-sp10-h3-native.json;sha256:9ca8baec4c8cc4d8a4951098753ae769a072d4a9f3fbc267563490ffa0aa224a,ideal-collision-ceiling,generic black-box ceiling,,fieldModulus=2013265921;width=24;outputFields=10,154.53445298162558,103.02296865441706,HEURISTIC,,true,Necessary ceiling only; not a qualification result.
H3,run:research-sp10-h3-native;artifact:research/runs/research-sp10-h3-native.json;sha256:9ca8baec4c8cc4d8a4951098753ae769a072d4a9f3fbc267563490ffa0aa224a,ideal-hidden-part-ceiling,generic black-box ceiling,,fieldModulus=2013265921;width=24;outputFields=10,432.69646834855155,216.34823417427577,HEURISTIC,,false,Necessary ceiling only; structural attacks are outside this model.
H4,run:research-sp10-h4-native;artifact:research/runs/research-sp10-h4-native.json;sha256:6262ffcff0d5ff5a9a12a3152f26253b482d819bc1bf8651d48c80441372f6c8,ideal-collision-ceiling,generic black-box ceiling,,fieldModulus=2013265921;width=24;outputFields=11,169.9878982797881,113.32526551985875,HEURISTIC,,true,Necessary ceiling only; not a qualification result.
H4,run:research-sp10-h4-native;artifact:research/runs/research-sp10-h4-native.json;sha256:6262ffcff0d5ff5a9a12a3152f26253b482d819bc1bf8651d48c80441372f6c8,ideal-hidden-part-ceiling,generic black-box ceiling,,fieldModulus=2013265921;width=24;outputFields=11,401.7895777522265,200.89478887611324,HEURISTIC,,false,Necessary ceiling only; structural attacks are outside this model.
H5,run:research-sp10-h5-native;artifact:research/runs/research-sp10-h5-native.json;sha256:57566a2c72bd67588a794e02e0b94d851995801e58a425b6ca64ecb2decaea97,ideal-collision-ceiling,generic black-box ceiling,,fieldModulus=2013265921;width=32;outputFields=12,185.44134357795068,123.62756238530045,HEURISTIC,,true,Necessary ceiling only; not a qualification result.
H5,run:research-sp10-h5-native;artifact:research/runs/research-sp10-h5-native.json;sha256:57566a2c72bd67588a794e02e0b94d851995801e58a425b6ca64ecb2decaea97,ideal-hidden-part-ceiling,generic black-box ceiling,,fieldModulus=2013265921;width=32;outputFields=12,618.1378119265023,309.06890596325115,HEURISTIC,,false,Necessary ceiling only; structural attacks are outside this model.
H6,run:research-sp10-h6-native;artifact:research/runs/research-sp10-h6-native.json;sha256:6c3e3679b9635b3a6938d4910b13cb8bd8e2bbea1f19cf083495e213d4fa7cc7,ideal-collision-ceiling,generic black-box ceiling,,fieldModulus=2013265921;width=32;outputFields=14,216.34823417427577,144.23215611618386,HEURISTIC,,true,Necessary ceiling only; not a qualification result.
H6,run:research-sp10-h6-native;artifact:research/runs/research-sp10-h6-native.json;sha256:6c3e3679b9635b3a6938d4910b13cb8bd8e2bbea1f19cf083495e213d4fa7cc7,ideal-hidden-part-ceiling,generic black-box ceiling,,fieldModulus=2013265921;width=32;outputFields=14,556.324030733852,278.162015366926,HEURISTIC,,false,Necessary ceiling only; structural attacks are outside this model.
C10-fri,run:research-sp50-c10-fri-b3-q111-c16x16-f0-r4-r0;artifact:research/runs/research-sp50-c10-fri-b3-q111-c16x16-f0-r4-r0.json;sha256:c0c7213e94b80eb267ae62ecaf24e3690cac7dd7edb5346049d8164136070256,air-random-linear-combination,ldr,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/air.rs:1-16,"{""field_bits"":120.0,""list_size"":9.899494936611665,""num_constraints"":1186}",106.480756783,106.480756783,CONJECTURAL,2^0,false,"b = log2(|F|) - log2(L+) - log2(num_constraints) | Requires mutual correlated agreement up to the Johnson bound, as stated by pinned security/src/assumption.rs:45-50."
C10-fri,run:research-sp50-c10-fri-b3-q111-c16x16-f0-r4-r0;artifact:research/runs/research-sp50-c10-fri-b3-q111-c16x16-f0-r4-r0.json;sha256:c0c7213e94b80eb267ae62ecaf24e3690cac7dd7edb5346049d8164136070256,deep-ali,ldr,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/deep.rs:1-28,"{""field_bits"":120.0,""k"":512,""list_size"":9.899494936611665,""max_combo"":2,""max_constraint_degree"":7}",104.690533301,104.690533301,CONJECTURAL,2^0,false,"b = log2(|F|) - log2(L+) - log2(max_deg*(k+max_combo-1)+(k-1)) | Requires mutual correlated agreement up to the Johnson bound, as stated by pinned security/src/assumption.rs:45-50."
C10-fri,run:research-sp50-c10-fri-b3-q111-c16x16-f0-r4-r0;artifact:research/runs/research-sp50-c10-fri-b3-q111-c16x16-f0-r4-r0.json;sha256:c0c7213e94b80eb267ae62ecaf24e3690cac7dd7edb5346049d8164136070256,fri-query-phase,ldr,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/fri.rs:196-202,"{""alpha"":0.41247895569215276,""configured_grinding_bits"":16,""num_queries"":111}",157.814441232,149.814441232,CONJECTURAL,2^0,false,"b = -num_queries*log2(alpha) + grinding | Requires mutual correlated agreement up to the Johnson bound, as stated by pinned security/src/assumption.rs:45-50."
C10-fri,run:research-sp50-c10-fri-b3-q111-c16x16-f0-r4-r0;artifact:research/runs/research-sp50-c10-fri-b3-q111-c16x16-f0-r4-r0.json;sha256:c0c7213e94b80eb267ae62ecaf24e3690cac7dd7edb5346049d8164136070256,fri-commit-phase,ldr,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/fri.rs:145-193; ePrint 2025/2055 Thm. 4.2,"{""alpha"":0.41247895569215276,""bchks25_base_bits"":95.047128763,""configured_grinding_bits"":16,""gamma"":0.5875210443078472,""m"":3,""n"":4096,""n_over_q_base_bits"":102.6922929,""rho"":0.125}",111.047128763,103.047128763,CONJECTURAL,2^0,false,"b = min(BCHKS25 linear bound, 2024/1553 n/q bound) + grinding | Requires mutual correlated agreement up to the Johnson bound, as stated by pinned security/src/assumption.rs:45-50."
