profile_id,candidate_id,formula_version,regime,adversary,batch_epsilon,conditions,m,alpha,gamma,list_size,rho,k,n,proximity_valid,strict_degree_gap,m_in_pinned_range,epsilon_dominant,epsilon_subdominant_linear,epsilon_subdominant_constant,epsilon_full,fri_commit_linear_bits,fri_commit_n_over_q_bits,air_rlc,deep_ali,fri_query,fri_commit,challenge_cap,mmcs_cap,batch,minimum_bits,error_sum_bits,objective,udr_bits
R2-C0-q32-declared,R2-C0,r2-full-objective-v1,conditional-Johnson,classical,dominant,"[""Johnson mutual correlated agreement at the same radius for all terms"", ""Theorem parameter must match actual PCS batching objects"", ""No complete Fiat-Shamir/QROM, MMCS structural or hiding composition proof"", ""Probability-sum and full-epsilon columns are arithmetic sensitivities, not replacement theorems""]",185,0.25067567567567567,0.7493243243243244,742.0,0.0625,512,8192,True,1539.535135135135,True,7.677118219169518e+16,4554740.92972973,742.0,7.677118219625066e+16,63.908585617531536,95.46454852389276,100.2528363288332,98.46261284689935,79.87539468465629,79.90858561753154,120.0,128.0,56.20122648553626,56.20122648553626,56.20122627242644,fri-only,45.190582247
R2-C0-q32-declared,R2-C0,r2-full-objective-v1,conditional-Johnson,classical,dominant,"[""Johnson mutual correlated agreement at the same radius for all terms"", ""Theorem parameter must match actual PCS batching objects"", ""No complete Fiat-Shamir/QROM, MMCS structural or hiding composition proof"", ""Probability-sum and full-epsilon columns are arithmetic sensitivities, not replacement theorems""]",9,0.2638888888888889,0.7361111111111112,38.0,0.0625,512,8192,True,1647.7777777777778,True,27045604010.666668,229148.44444444447,38.0,27045833197.11111,85.34531270805078,99.75189638706998,104.54018419201041,102.74996071007656,77.50391961595926,101.34531270805078,120.0,128.0,77.63796580142235,77.50391961595926,76.56938635222397,full-minimum,45.190582247
R2-C0-q32-declared,R2-C0,r2-full-objective-v1,conditional-Johnson,classical,dominant,"[""Johnson mutual correlated agreement at the same radius for all terms"", ""Theorem parameter must match actual PCS batching objects"", ""No complete Fiat-Shamir/QROM, MMCS structural or hiding composition proof"", ""Probability-sum and full-epsilon columns are arithmetic sensitivities, not replacement theorems""]",8,0.265625,0.734375,34.0,0.0625,512,8192,True,1662.0,True,15508624725.333334,204544.0,34.0,15508829303.333334,86.14762926365759,99.91236105926322,104.70064886420366,102.9104253822698,77.20118907998915,102.14762926365759,120.0,128.0,78.44028916238858,77.20118907998915,76.69160786538271,full-error-sum,45.190582247
R2-C0-q32-declared,R2-C0,r2-full-objective-v1,conditional-Johnson,classical,full,"[""Johnson mutual correlated agreement at the same radius for all terms"", ""Theorem parameter must match actual PCS batching objects"", ""No complete Fiat-Shamir/QROM, MMCS structural or hiding composition proof"", ""Probability-sum and full-epsilon columns are arithmetic sensitivities, not replacement theorems""]",185,0.25067567567567567,0.7493243243243244,742.0,0.0625,512,8192,True,1539.535135135135,True,7.677118219169518e+16,4554740.92972973,742.0,7.677118219625066e+16,63.908585617531536,95.46454852389276,100.2528363288332,98.46261284689935,79.87539468465629,79.90858561753154,120.0,128.0,56.201226485450654,56.201226485450654,56.20122627234083,fri-only,45.190582247
R2-C0-q32-declared,R2-C0,r2-full-objective-v1,conditional-Johnson,classical,full,"[""Johnson mutual correlated agreement at the same radius for all terms"", ""Theorem parameter must match actual PCS batching objects"", ""No complete Fiat-Shamir/QROM, MMCS structural or hiding composition proof"", ""Probability-sum and full-epsilon columns are arithmetic sensitivities, not replacement theorems""]",9,0.2638888888888889,0.7361111111111112,38.0,0.0625,512,8192,True,1647.7777777777778,True,27045604010.666668,229148.44444444447,38.0,27045833197.11111,85.34531270805078,99.75189638706998,104.54018419201041,102.74996071007656,77.50391961595926,101.34531270805078,120.0,128.0,77.6379535759699,77.50391961595926,76.56938052325913,full-minimum,45.190582247
R2-C0-q32-declared,R2-C0,r2-full-objective-v1,conditional-Johnson,classical,full,"[""Johnson mutual correlated agreement at the same radius for all terms"", ""Theorem parameter must match actual PCS batching objects"", ""No complete Fiat-Shamir/QROM, MMCS structural or hiding composition proof"", ""Probability-sum and full-epsilon columns are arithmetic sensitivities, not replacement theorems""]",8,0.265625,0.734375,34.0,0.0625,512,8192,True,1662.0,True,15508624725.333334,204544.0,34.0,15508829303.333334,86.14762926365759,99.91236105926322,104.70064886420366,102.9104253822698,77.20118907998915,102.14762926365759,120.0,128.0,78.44027013157671,77.20118907998915,76.69160220228825,full-error-sum,45.190582247
R2-C0-q32-declared,R2-C0,r2-full-objective-v1,conditional-Johnson,quantum_grinding_only,dominant,"[""Johnson mutual correlated agreement at the same radius for all terms"", ""Theorem parameter must match actual PCS batching objects"", ""No complete Fiat-Shamir/QROM, MMCS structural or hiding composition proof"", ""Probability-sum and full-epsilon columns are arithmetic sensitivities, not replacement theorems""]",185,0.25067567567567567,0.7493243243243244,742.0,0.0625,512,8192,True,1539.535135135135,True,7.677118219169518e+16,4554740.92972973,742.0,7.677118219625066e+16,63.908585617531536,95.46454852389276,100.2528363288332,98.46261284689935,71.87539468465629,71.90858561753154,120.0,128.0,56.20122648553626,56.20122648553626,56.201171930538735,fri-only,37.190582247
R2-C0-q32-declared,R2-C0,r2-full-objective-v1,conditional-Johnson,quantum_grinding_only,dominant,"[""Johnson mutual correlated agreement at the same radius for all terms"", ""Theorem parameter must match actual PCS batching objects"", ""No complete Fiat-Shamir/QROM, MMCS structural or hiding composition proof"", ""Probability-sum and full-epsilon columns are arithmetic sensitivities, not replacement theorems""]",23,0.2554347826086957,0.7445652173913043,94.0,0.0625,512,8192,True,1578.521739130435,True,2505059063125.3335,573350.9565217391,94.0,2505059636570.29,78.81201791207883,98.44523504883593,103.23352285377636,101.44329937184251,71.00713934014001,86.81201791207883,120.0,128.0,71.10465911025209,71.00713934014001,70.05506236692649,full-minimum,37.190582247
R2-C0-q32-declared,R2-C0,r2-full-objective-v1,conditional-Johnson,quantum_grinding_only,dominant,"[""Johnson mutual correlated agreement at the same radius for all terms"", ""Theorem parameter must match actual PCS batching objects"", ""No complete Fiat-Shamir/QROM, MMCS structural or hiding composition proof"", ""Probability-sum and full-epsilon columns are arithmetic sensitivities, not replacement theorems""]",17,0.25735294117647056,0.7426470588235294,70.0,0.0625,512,8192,True,1594.2352941176468,True,573678933333.3334,425863.5294117647,70.0,573679359266.8628,80.93854634485369,98.8705408835686,103.65882868850903,101.86860520657518,70.66175437777194,88.93854634485369,120.0,128.0,73.23118828391544,70.66175437777194,70.43712943789753,full-error-sum,37.190582247
R2-C0-q32-declared,R2-C0,r2-full-objective-v1,conditional-Johnson,quantum_grinding_only,full,"[""Johnson mutual correlated agreement at the same radius for all terms"", ""Theorem parameter must match actual PCS batching objects"", ""No complete Fiat-Shamir/QROM, MMCS structural or hiding composition proof"", ""Probability-sum and full-epsilon columns are arithmetic sensitivities, not replacement theorems""]",185,0.25067567567567567,0.7493243243243244,742.0,0.0625,512,8192,True,1539.535135135135,True,7.677118219169518e+16,4554740.92972973,742.0,7.677118219625066e+16,63.908585617531536,95.46454852389276,100.2528363288332,98.46261284689935,71.87539468465629,71.90858561753154,120.0,128.0,56.201226485450654,56.201226485450654,56.20117193045313,fri-only,37.190582247
R2-C0-q32-declared,R2-C0,r2-full-objective-v1,conditional-Johnson,quantum_grinding_only,full,"[""Johnson mutual correlated agreement at the same radius for all terms"", ""Theorem parameter must match actual PCS batching objects"", ""No complete Fiat-Shamir/QROM, MMCS structural or hiding composition proof"", ""Probability-sum and full-epsilon columns are arithmetic sensitivities, not replacement theorems""]",23,0.2554347826086957,0.7445652173913043,94.0,0.0625,512,8192,True,1578.521739130435,True,2505059063125.3335,573350.9565217391,94.0,2505059636570.29,78.81201791207883,98.44523504883593,103.23352285377636,101.44329937184251,71.00713934014001,86.81201791207883,120.0,128.0,71.10465877999795,71.00713934014001,70.05506220737966,full-minimum,37.190582247
R2-C0-q32-declared,R2-C0,r2-full-objective-v1,conditional-Johnson,quantum_grinding_only,full,"[""Johnson mutual correlated agreement at the same radius for all terms"", ""Theorem parameter must match actual PCS batching objects"", ""No complete Fiat-Shamir/QROM, MMCS structural or hiding composition proof"", ""Probability-sum and full-epsilon columns are arithmetic sensitivities, not replacement theorems""]",17,0.25735294117647056,0.7426470588235294,70.0,0.0625,512,8192,True,1594.2352941176468,True,573678933333.3334,425863.5294117647,70.0,573679359266.8628,80.93854634485369,98.8705408835686,103.65882868850903,101.86860520657518,70.66175437777194,88.93854634485369,120.0,128.0,73.23118721277281,70.66175437777194,70.43712928346032,full-error-sum,37.190582247
