candidate_id,source_run_id,profile,term,model,formula_source,input_summary,classical_bits,quantum_bits,proven_or_conjectural,multi_target_count,binding,notes,artifact_path,artifact_sha256
H1,research-sp10-h1-native,run:research-sp10-h1-native;artifact:research/runs/research-sp10-h1-native.json;sha256:c1745d6960c4d952613fdde173f583f812e0df7f8882e9838ed62e402ebb375c,ideal-collision-ceiling,generic black-box ceiling,,fieldModulus=2013265921;width=16;outputFields=7,108.17411708713789,72.11607805809193,HEURISTIC,,true,Necessary ceiling only; not a qualification result.,research/runs/research-sp10-h1-native.json,c1745d6960c4d952613fdde173f583f812e0df7f8882e9838ed62e402ebb375c
H1,research-sp10-h1-native,run:research-sp10-h1-native;artifact:research/runs/research-sp10-h1-native.json;sha256:c1745d6960c4d952613fdde173f583f812e0df7f8882e9838ed62e402ebb375c,ideal-hidden-part-ceiling,generic black-box ceiling,,fieldModulus=2013265921;width=16;outputFields=7,278.162015366926,139.081007683463,HEURISTIC,,false,Necessary ceiling only; structural attacks are outside this model.,research/runs/research-sp10-h1-native.json,c1745d6960c4d952613fdde173f583f812e0df7f8882e9838ed62e402ebb375c
H3,research-sp10-h3-native,run:research-sp10-h3-native;artifact:research/runs/research-sp10-h3-native.json;sha256:cb9f415a562cb9628f47ea94c625162971b966173b21a745fcc16c1e8133d73b,ideal-collision-ceiling,generic black-box ceiling,,fieldModulus=2013265921;width=24;outputFields=10,154.53445298162558,103.02296865441706,HEURISTIC,,true,Necessary ceiling only; not a qualification result.,research/runs/research-sp10-h3-native.json,cb9f415a562cb9628f47ea94c625162971b966173b21a745fcc16c1e8133d73b
H3,research-sp10-h3-native,run:research-sp10-h3-native;artifact:research/runs/research-sp10-h3-native.json;sha256:cb9f415a562cb9628f47ea94c625162971b966173b21a745fcc16c1e8133d73b,ideal-hidden-part-ceiling,generic black-box ceiling,,fieldModulus=2013265921;width=24;outputFields=10,432.69646834855155,216.34823417427577,HEURISTIC,,false,Necessary ceiling only; structural attacks are outside this model.,research/runs/research-sp10-h3-native.json,cb9f415a562cb9628f47ea94c625162971b966173b21a745fcc16c1e8133d73b
H4,research-sp10-h4-native,run:research-sp10-h4-native;artifact:research/runs/research-sp10-h4-native.json;sha256:771b7dfc5c28ae2b044ceb1240a06b9648f51112a6b42aa5a13428540c01a324,ideal-collision-ceiling,generic black-box ceiling,,fieldModulus=2013265921;width=24;outputFields=11,169.9878982797881,113.32526551985875,HEURISTIC,,true,Necessary ceiling only; not a qualification result.,research/runs/research-sp10-h4-native.json,771b7dfc5c28ae2b044ceb1240a06b9648f51112a6b42aa5a13428540c01a324
H4,research-sp10-h4-native,run:research-sp10-h4-native;artifact:research/runs/research-sp10-h4-native.json;sha256:771b7dfc5c28ae2b044ceb1240a06b9648f51112a6b42aa5a13428540c01a324,ideal-hidden-part-ceiling,generic black-box ceiling,,fieldModulus=2013265921;width=24;outputFields=11,401.7895777522265,200.89478887611324,HEURISTIC,,false,Necessary ceiling only; structural attacks are outside this model.,research/runs/research-sp10-h4-native.json,771b7dfc5c28ae2b044ceb1240a06b9648f51112a6b42aa5a13428540c01a324
H5,research-sp10-h5-native,run:research-sp10-h5-native;artifact:research/runs/research-sp10-h5-native.json;sha256:b62f015710af35289b1ff5a41634cb08040c90b23c7c1bdd8ab4ce041e0002ec,ideal-collision-ceiling,generic black-box ceiling,,fieldModulus=2013265921;width=32;outputFields=12,185.44134357795068,123.62756238530045,HEURISTIC,,true,Necessary ceiling only; not a qualification result.,research/runs/research-sp10-h5-native.json,b62f015710af35289b1ff5a41634cb08040c90b23c7c1bdd8ab4ce041e0002ec
H5,research-sp10-h5-native,run:research-sp10-h5-native;artifact:research/runs/research-sp10-h5-native.json;sha256:b62f015710af35289b1ff5a41634cb08040c90b23c7c1bdd8ab4ce041e0002ec,ideal-hidden-part-ceiling,generic black-box ceiling,,fieldModulus=2013265921;width=32;outputFields=12,618.1378119265023,309.06890596325115,HEURISTIC,,false,Necessary ceiling only; structural attacks are outside this model.,research/runs/research-sp10-h5-native.json,b62f015710af35289b1ff5a41634cb08040c90b23c7c1bdd8ab4ce041e0002ec
H6,research-sp10-h6-native,run:research-sp10-h6-native;artifact:research/runs/research-sp10-h6-native.json;sha256:127977bdf5e8e48ff013e02227a67612fe5760b66144a1da04abe9976874933e,ideal-collision-ceiling,generic black-box ceiling,,fieldModulus=2013265921;width=32;outputFields=14,216.34823417427577,144.23215611618386,HEURISTIC,,true,Necessary ceiling only; not a qualification result.,research/runs/research-sp10-h6-native.json,127977bdf5e8e48ff013e02227a67612fe5760b66144a1da04abe9976874933e
H6,research-sp10-h6-native,run:research-sp10-h6-native;artifact:research/runs/research-sp10-h6-native.json;sha256:127977bdf5e8e48ff013e02227a67612fe5760b66144a1da04abe9976874933e,ideal-hidden-part-ceiling,generic black-box ceiling,,fieldModulus=2013265921;width=32;outputFields=14,556.324030733852,278.162015366926,HEURISTIC,,false,Necessary ceiling only; structural attacks are outside this model.,research/runs/research-sp10-h6-native.json,127977bdf5e8e48ff013e02227a67612fe5760b66144a1da04abe9976874933e
